name,province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT
สมุทรสงคราม,75,821,"2,763",658,750,103,78,110,530,1,0.596739,0,0,0,6,5,63,92,53,0,0,34,2,0,0,0,26,1,0,83,106,248,203,224,92,125,4,0,1,0,6,0
,37,"1,309","5,422","1,799","1,802",87,79,"1,110",524,19,0.725052,0,0,0,9,13,3,67,16,21,5,42,1,1,0,0,"1,064",9,0,37,121,297,133,89,497,431,6,2,17,0,0,31
,39,"1,377","6,107","1,879","2,013",299,109,908,792,24,0.577042,0,3,0,132,105,33,111,28,2,2,79,12,31,0,0,778,16,0,117,224,411,221,128,573,629,14,3,21,0,4,4
,18,"2,624","7,626","2,598","2,687",13,295,37,"2,386",4,1.116935,0,0,0,0,0,0,13,65,170,94,0,9,0,0,0,7,0,0,30,174,"1,698",684,134,485,547,0,0,4,0,0,4
,43,"2,132","8,174","2,137","2,209",277,285,"1,079",666,13,0.712036,0,1,0,43,39,157,202,33,7,9,248,6,21,5,0,987,1,0,92,150,342,213,255,518,519,8,0,13,0,2,10
,83,"3,942","9,425","1,074","1,012",235,373,138,324,1,0.530465,0,0,0,63,76,178,107,54,85,240,71,23,32,33,0,130,0,0,8,19,305,2,260,16,50,5,1,0,0,2,25
,23,"2,969","10,187","1,675","1,793",178,188,595,957,2,1.451281,0,0,0,35,47,96,109,24,3,1,162,19,61,4,0,533,4,0,59,246,749,19,24,321,311,71,0,2,0,33,1
,82,"3,255","10,832","2,543","2,785",487,918,78,"1,700",0,1.778291,0,0,0,64,164,710,321,126,0,0,840,69,111,1,0,8,4,0,66,750,"1,067",53,741,358,"1,275",56,0,0,0,6,23
,49,"3,320","11,195","4,592","4,567","1,117","2,837",487,613,16,1.857637,8,7,0,"1,000",28,5,84,63,3,6,"2,778",6,23,5,0,327,3,0,159,246,338,88,"1,110","2,110","2,026",4,0,16,0,2,15
,17,"2,937","11,308","3,086","3,343",233,34,"1,588","1,653",1,2.357978,4,0,0,10,10,237,212,6,0,1,29,4,0,0,0,"1,506",8,3,81,279,"1,317",144,38,579,677,28,0,1,0,1,2
,35,"3,212","11,830","3,504","3,773",579,843,"1,581",961,27,0.943302,0,0,0,200,122,86,287,37,11,5,797,38,40,9,1,"1,418",9,0,153,166,670,171,223,877,970,10,8,19,1,1,6
,61,"3,698","11,879","3,410","3,992",882,729,"1,575","1,443",13,1.866162,0,0,0,453,616,134,234,68,23,13,640,32,53,6,0,"1,141",0,0,441,174,728,622,682,924,"1,012",22,0,13,0,12,20
,21,"4,626","11,990","1,926","2,128",638,117,116,"1,406",11,0.585713,0,0,0,17,56,155,571,15,18,72,34,33,61,3,0,23,1,0,93,210,"1,260",10,309,421,435,125,8,3,9,16,15
,85,"3,668","12,237","1,771","1,824",395,611,806,418,4,1.568223,0,1,0,295,20,817,91,19,23,28,580,10,268,3,1,686,1,0,124,127,271,47,465,327,669,37,0,4,1,20,7
,54,"4,333","13,014","5,891","5,121",991,166,305,"3,820",18,1.605807,0,0,0,542,383,70,77,26,97,109,10,12,22,0,0,79,0,0,226,301,"3,355",313,81,"2,007","1,170",1,0,18,0,0,0
,26,"4,024","13,390","2,789","3,219",452,396,684,"1,916",1,1.912747,0,0,0,22,167,182,268,45,12,29,329,24,16,11,0,552,2,0,133,327,"1,449",286,"1,230",641,716,132,1,0,0,68,39
,56,"5,018","14,656","6,878","6,503","2,067",290,347,"4,168",18,2.113436,0,0,0,"1,257",413,120,484,25,33,30,234,33,26,6,0,166,0,0,181,796,"3,074",543,230,"1,890","1,313",135,0,18,0,2,27
