"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,3877,11449,1995,1995,336,310,81,1568,4,0.3978613208995854,0,0,0,42,57,110,270,113,16,11,222,117,48,5,0,55,2,2,28,208,1038,506,666,185,233,6,4,0,0,28,118
12,1105,3272,738,738,79,23,86,594,1,0.23621215564396617,0,0,0,0,6,27,73,8,1,0,14,4,14,0,3,61,0,2,22,69,507,63,224,42,82,15,1,0,0,12,76
13,398,1103,279,279,36,21,9,219,0,0.06445367998170347,0,0,0,2,2,0,32,19,1,1,3,3,4,0,0,4,0,0,5,20,37,179,75,15,21,0,0,0,0,3,20
14,516,1505,483,483,58,158,35,313,0,0.09849082689472492,0,0,0,0,13,20,49,49,0,0,126,7,22,0,0,16,0,2,19,53,157,153,160,54,67,4,0,0,0,22,26
15,1400,4158,1555,1555,201,189,41,1205,0,0.8192316608012139,3,0,0,0,0,292,198,186,0,0,7,31,0,1,0,34,0,0,7,52,264,999,262,84,97,1,0,0,0,2,1
16,2080,7041,2261,2261,330,345,584,1235,1,0.4922826368582744,0,0,0,18,169,107,150,112,13,11,270,13,28,9,5,440,8,12,135,225,640,499,506,401,432,16,0,1,0,26,173
17,883,2500,959,959,41,44,43,873,0,0.7175780431594385,0,0,0,0,0,0,41,43,0,0,2,2,0,0,0,3,0,3,40,67,402,452,54,48,66,0,0,0,0,0,0
18,1289,3300,1471,1471,25,265,38,1238,0,0.639303936651977,2,2,0,0,2,86,21,180,85,5,2,0,3,3,0,22,0,0,17,30,295,1025,235,151,209,0,0,0,0,2,0
19,585,2006,479,479,34,107,152,227,3,0.12204941090138205,0,0,0,3,7,17,26,65,0,0,46,29,20,1,3,87,1,8,61,51,88,114,67,61,85,10,3,2,1,19,36
20,510,1994,298,298,13,46,138,130,0,0.05089475715686174,0,0,0,2,0,4,11,4,11,11,31,4,3,0,0,135,0,0,3,19,73,47,59,33,30,1,0,0,0,4,7
21,897,3213,776,776,157,98,112,467,5,0.21468785879293412,0,0,0,4,78,13,75,70,1,1,54,34,2,2,0,78,2,2,32,115,289,130,133,118,122,8,5,0,9,26,8
22,1416,4613,1113,1113,99,188,153,796,2,0.3977969269919333,0,0,0,3,31,101,66,89,18,18,117,13,20,1,0,62,7,3,87,173,398,317,182,257,247,24,1,1,0,61,22
23,41,124,24,24,0,5,7,16,0,0.019908916706069733,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,7,0,0,0,8,0,10,0,5,2,0,0,0,0,0,0
24,1775,6037,1534,1534,110,213,279,1110,6,0.35766579931544534,0,0,0,22,11,70,79,114,3,3,120,13,44,5,2,147,12,13,123,169,422,679,540,229,311,52,4,2,5,66,84
25,527,1694,530,530,20,174,41,424,0,0.1695739534407515,5,0,0,0,1,2,14,167,4,4,11,3,1,2,0,26,2,0,14,41,149,277,39,82,69,0,0,0,0,1,1
26,1504,4569,1404,1404,254,228,50,991,0,0.8518848863243351,0,0,0,3,1,12,251,116,23,17,101,4,5,0,0,25,0,0,25,57,576,423,194,159,188,3,0,0,0,11,3
27,590,1934,696,696,14,215,65,478,3,0.20202020202020202,4,2,0,0,3,1,7,211,0,3,15,0,8,0,0,43,6,2,16,59,109,346,101,132,150,24,3,0,0,5,15
30,3205,10223,3554,3554,344,609,612,2303,2,0.2057279667315765,2,4,0,50,138,153,163,299,12,19,317,52,60,6,2,241,43,13,331,373,722,1388,332,642,702,22,1,1,0,21,91
31,8914,33737,10935,10935,1482,1846,3355,5614,25,1.0636745651920159,10,4,2,264,521,420,748,750,148,100,1190,123,294,52,18,2424,103,59,858,1273,2413,2499,1925,2244,2421,207,17,8,4,62,525
32,4616,15794,6225,6225,573,1606,1313,3586,19,0.714187375232326,14,2,0,115,302,440,185,914,42,44,702,72,172,19,6,827,44,16,463,668,704,2460,415,1361,1506,119,5,15,1,34,201
33,1559,5105,2340,2340,105,590,487,1499,3,0.2518978457351757,3,0,0,19,6,6,80,546,9,8,66,3,6,5,0,381,9,0,99,54,172,1331,281,384,419,5,1,2,0,10,15
