province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT,poor.JPT.MOFval.ind32.CNT,poor.JPT.MOFval.ind33.CNT,poor.JPT.MOFval.ind34.CNT,poor.JPT.MOFval.ind35.CNT,poor.JPT.MOFval.ind36.CNT,poor.JPT.MOFval.ind37.CNT,poor.JPT.MOFval.ind38.CNT
11,4330,10012,1774,1774,28,565,958,549,469,0.3798032045627767,0,0,0,0,0,0,2,0,0,0,2,24,0,3,60,18,0,0,0,64,511,0,0,0,0,958,13,24,24,489,0,453,6,0,0,10,0,13
12,2800,6350,888,888,102,291,415,248,200,0.3273962047111134,0,0,0,0,0,0,0,0,0,0,0,102,0,0,60,65,0,0,0,25,161,0,4,0,0,411,33,168,15,52,0,200,0,0,0,0,0,0
13,1081,2057,351,351,39,26,62,227,18,0.083841518,0,0,0,0,0,0,0,0,0,0,0,39,26,0,0,0,0,0,0,0,0,0,6,0,0,56,27,75,108,57,0,6,0,0,6,4,2,2
14,4522,14194,3420,3420,0,1210,250,329,2012,0.7315883596163225,0,0,0,0,0,0,0,0,0,0,0,0,42,40,639,13,0,0,1,10,530,0,17,0,2,231,51,161,138,43,0,1988,18,6,0,1,0,0
15,16711,46254,13304,13304,3412,8221,1990,1869,1959,6.987468355760039,0,0,0,0,0,0,0,0,0,0,0,3412,155,15,2033,767,6,2,7,200,5614,3,17,0,0,1970,159,405,1097,570,0,1955,0,0,0,1,3,3
16,13652,32451,8687,8687,3260,3708,740,1182,1383,1.9215923092066989,2,3,2,0,0,1,8,0,6,2,5,3238,138,280,317,88,1,0,10,203,3141,0,69,2,5,669,173,524,563,89,2,1364,0,17,3,4,0,1
17,286,732,354,354,6,37,16,300,0,0.2740553220150034,0,6,0,0,0,0,0,0,0,0,0,0,28,1,3,0,0,0,3,4,0,0,14,2,0,0,36,87,217,12,0,0,0,0,0,0,0,0
18,7936,20978,5939,5939,608,2047,753,1624,2646,2.660627727,0,0,2,0,0,1,10,5,16,0,0,590,186,268,299,76,3,6,7,135,1301,1,41,6,25,690,187,494,783,427,13,2611,2,11,2,18,36,29
19,4152,12787,2873,2873,191,1120,971,32,1015,0.7431357587201407,0,1,13,0,0,3,10,5,0,0,0,162,30,14,283,40,5,7,2,77,736,0,16,0,16,941,1,19,13,2,14,1004,2,12,0,3,5,10
20,4771,11880,2295,2295,223,810,973,471,691,0.3976463494505723,0,0,0,0,0,1,18,5,8,4,6,197,18,50,82,251,3,0,2,75,632,1,41,1,22,913,43,182,48,252,45,578,1,52,4,31,15,41
21,8859,22954,4461,4461,256,3246,960,1721,1422,1.383182901986562,1,4,0,0,0,9,23,9,13,0,48,160,23,34,30,504,9,9,40,316,2986,3,85,4,16,883,118,712,432,961,48,1178,2,123,2,43,4,147
22,13643,37773,6624,6624,195,5760,611,780,968,2.450093765,0,0,0,0,0,14,85,15,5,0,17,86,50,69,20,576,15,8,706,166,4777,7,35,1,56,512,32,522,115,133,31,854,0,0,0,53,1,57
23,133,267,98,98,0,60,3,30,11,0.08359421,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,51,0,0,2,0,0,1,6,22,11,5,0,9,0,0,2,0,0,0
24,9591,30030,5553,5553,496,2549,1362,3069,1591,1.329073023623178,2,1,2,4,1,10,214,73,21,5,47,259,67,241,333,686,32,18,15,301,1513,2,120,13,45,1224,225,2045,590,884,72,1298,13,279,12,101,12,22
